gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
22,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.135,0.04905660377358491,1315.75,1368.0,1035.2375000000002,8
23,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.135,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
24,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.135,0.06092767295597484,1315.75,1368.0,1035.2375000000002,8
25,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.135,0.0125,1315.75,1368.0,1035.2375000000002,8
1,1.6963392631424123,21.16514399750793,110.46079759642666,1.0,0.06,0.360440251572336,1315.75,1368.0,1035.2375000000002,8
2,1.6963392631424123,9.712447844530223,43.044819693593894,1.0,0.06,0.33516771488470043,1315.75,1368.0,1035.2375000000002,8
3,1.6963392631424123,5.115223750635216,25.732739859623347,1.0,0.06,0.3050314465408736,1315.75,1368.0,1035.2375000000002,8
4,1.6963392631424123,3.099107854037367,23.439269652443457,1.0,0.06,0.2088050314465409,1315.75,1368.0,1035.2375000000002,8
5,1.6963392631424123,2.700314108225826,3.048719258521072,1.0,0.06,0.5687893081761006,1315.75,1368.0,1035.2375000000002,8
6,1.6963392631424123,2.463853107027143,3.048719258521072,1.0,0.06,0.677751572327044,1315.75,1368.0,1035.2375000000002,8
7,1.6963392631424123,2.167401415423758,3.048719258521072,1.0,0.06,0.6283805031446541,1315.75,1368.0,1035.2375000000002,8
8,1.6963392631424123,1.949495369017637,3.048719258521072,1.0,0.06,0.48930817610062893,1315.75,1368.0,1035.2375000000002,8
9,1.6963392631424123,1.7590097219969163,2.323043851687427,1.0,0.06,0.1811320754716981,1315.75,1368.0,1035.2375000000002,8
10,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
11,1.6963392631424123,2.037489619844732,28.312177801638462,1.0,0.09,0.028957023060796564,1315.75,1368.0,1035.2375000000002,8
12,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
13,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
14,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
15,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
16,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
17,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
18,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
19,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
20,1.6963392631424123,1.6963392631424146,1.6963392631424123,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
21,1.6963392631424123,1.8230596967224273,21.971608635944424,1.0,0.135,0.0125,1315.75,1368.0,1035.2375000000002,8
